product_url,name,price,rate,description,instructions,country
https://goldapple.ru/19000004549-perfume-vanilla-blend,Black vanilla,2 200,4.6,"Я хочу, чтобы парфюм трогал до глубины души, говорил о личности и отражал ее уникальность.Эрез РозенЗамысловатая ольфакторная книга, сюжет которой раскрывается новыми гранями на каждом человеке. Необычные сочетания нот и оригинальное построение аккордов подчеркивают индивидуальность и раскрывают суть ярче любых слов.Все ароматы Zielinski&Rozen категории унисекс.",Наносите парфюм по обе стороны плеч или распылите впереди себя и войдите в «облако» аромата.,Россия
https://goldapple.ru/19000215486,Atlas 00:00 gmt,5 530,N/A,"Изысканный, насыщенный и смелый аромат ""ATLAS [00:00 GMT]"" окутывает завораживающей свежестью. Звучание начинается с нот итальянского бергамота и кардамона, смягченных тонкой древесно-амбровой сладостью.Охлаждающий эффект усиливают герань и имбирь, которые сочетаются с лабданумом в сердце аромата. Базовые ноты ветивера и индийского сандала придают шлейфу мягкость и чувственность.Парфюмерная вода TUMI, созданная из ингредиентов высочайшего качества, отражает дух человека, который сам уверенно и решительно выбирает свою судьбу.",Только для наружного применения.,США
https://goldapple.ru/19000257262-bois-imperial-refillable-limited-edition,Bois imperial refillable limited edition,9 830,4.2,"Лимитированная версия аромата BOIS IMPERIAL — совместный выпуск ESSENTIAL PARFUMS и «Золотого Яблока».Парфюмер – Quentin Bisch. «Центром созданного мной аромата стала необыкновенная и редкая нота – акигалвуд. Эта уникальная древесная нота, украшенная свежими специями, играет на контрастах».Чувственный и свежий аромат ESSENTIAL PARFUMS с древесными, пряными и зелеными аккордами дополняют насыщенный гаитянский ветивер, пачули и нота Ambrofix со стойким звучанием амбры. Свежие листья базилика сочетаются с игривым ароматом перца Тимут, который раскрывает не только острую грань, но и свежую ноту, напоминающую грейпфрут. В составе парфюмерной воды – 93% натуральных ингредиентов.Создатели ароматов ESSENTIAL PARFUMS выбирают натуральные, экологически чистые материалы и стремятся снизить воздействие на окружающую среду.Флакон парфюмерной воды подходит для многоразового использования, и его можно пополнять из рефила.",Только для наружного применения.,Франция
https://goldapple.ru/19000004553-black-pepper-amber-neroli,"Black Pepper, Vetiver, Neroli, Amber",2 200,4.7,"Я хочу, чтобы парфюм трогал до глубины души, говорил о личности и отражал ее уникальность.Эрез РозенЗамысловатая ольфакторная книга, сюжет которой раскрывается новыми гранями на каждом человеке. Необычные сочетания нот и оригинальное построение аккордов подчеркивают индивидуальность и раскрывают суть ярче любых слов.Все ароматы Zielinski&Rozen категории унисекс.",Наносите парфюм по обе стороны плеч или распылите впереди себя и войдите в «облако» аромата.,Россия
https://goldapple.ru/19000152685-aura-soleil,AURA SOLEIL,750,4.0,"Цветочно-фруктовый аромат LE PARFUM FRANCAIS с насыщенными нотами петитгрейна, бодрящего бергамота, лимона и листьев инжира – словно прогулка по роскошному средиземноморскому саду в летний полдень.Согретые солнцем фрукты опьяняют цитрусовой сладостью и свежестью, а тонкие ароматы цветов очаровывают всех посетителей сада.Ноты чувственного мускуса и акации усиливают нежность цветочного букета, объединившего розу, жасмин и флердоранж.",N/A,N/A
https://goldapple.ru/19000010974-allegra-riva-solare,Allegra Riva Solare,21 310,5.0,"Искрящийся цитрусово-цветочный аромат Riva Solare – это парфюмерное воплощение ярких и захватывающих каникул в Италии. Композиция из коллекции Bvlgari Allegra, раскрывающей яркость и глубину итальянских эмоций, передаёт прилив радости от прогулки у Средиземного моря. Бодрящий и освежающий всплеск аромата калабрийского бергамота отражает уникальную атмосферу итальянской Ривьеры. Изысканная и чувственная нота нероли добавляет композиции зеленые и белоцветочные акценты, воплощающие живительную энергию солнца и моря. Усилить звучание этого яркого аромата и создать индивидуальное сочетание под своё настроение можно с помощью одной из эссенций коллекции Bvlgari Allegra, идеально дополняющих гармонию нот. Ваш персонализированный аромат начинается здесь!Ключевые ноты: бергамот, нероли",N/A,N/A
https://goldapple.ru/19000026993-grenade,GRENADE,1 365,4.5,"Парфюмерная вода SOLINOTES – это хорошее настроение в стильном и современном флаконе. Фруктовый и пикантный аромат способен зарядить позитивными эмоциями и подчеркнуть яркую индивидуальность. Ключевая нота парфюмерной композиции – сочный гранат, окруженный восхитительным ягодным аккордом. Аромат погружает в яркую фруктовую свежесть, смягченную нежностью мускуса и бодрящей нотой лимона. Парфюмерную воду можно сочетать с другими композициями бренда, чтобы создать свой неповторимый микс любимых нот, или использовать отдельно, наслаждаясь ярким звучанием ноты спелого граната.",только для наружного применения.,N/A
https://goldapple.ru/19000227742-fruit-boom,Fruit Boom,790,N/A,"Уникальная ароматическая свечка для расслабления и приятного времяпровождения. Свеча в банке выполнена из 100% натурального соевого воска, хлопкового фитиля и добавлением ароматических масел премиального качества, что делает наши свечи полностью экологическими, безвредными и безопасными, которые не вызывают раздражения и аллергии у взрослых и детей. Ароматические свечи в стеклянных банках изготовлены вручную с теплом, заботой и любовью для клиентов. Каждая свеча надежно и аккуратно упакована в коробочку, что отлично послужит подарком для Вас и Ваших близких или станут прекрасным дополнением Вашего декора. Время горения 20 часов. Объем банки 120 мл.","Открутить крышку с банки и поджечь фитиль. Для тушения свечи применять крышку или специальный колпачок для свечей. Перед повторным использованием, рукомендуем подрезать опаленный фитиль до 3-5 мм",Россия
https://goldapple.ru/19000010964-allegra-dolce-estasi,Allegra Dolce Estasi,14 880,5.0,"Цветочный пудровый аромат Dolce Estasi – это посвящение нежности, ласке и заботе в мягких объятиях итальянской семьи. Нежная и успокаивающая композиция навевает сладкие воспоминания о традиционной местной выпечке и аппетитных пирожных.Утонченная парфюмерная вода из коллекции Bvlgari Allegra, раскрывающей яркость и глубину итальянских эмоций, легко касается кожи, как нежный поцелуй, и окутывает деликатной дымкой. Мечтательное благоухание цветов и кремовая сладость десерта дарят ощущение блаженства. Нота гелиотропа переплетается с восхитительной нежностью мускуса, придающего аромату пудровое послевкусие.Усилить звучание композиции и создать индивидуальное сочетание под своё настроение можно с помощью одной из эссенций коллекции Bvlgari Allegra, идеально дополняющих гармонию нот. Ваш персонализированный аромат начинается здесь!",N/A,N/A
https://goldapple.ru/19000253143-wildbloom-rouge,Wildbloom Rouge,6 980,N/A,"Современный цветочно-древесный аромат BANANA REPUBLIC – элегантное парфюмерное решение для любой ситуации. Свежая и чистая, в меру сладкая и слегка дымная композиция отражает идеальную гармонию и подчеркивает изысканность.Верхние ноты свежего зеленого яблока, сочной сливы и клементина переливаются, постепенно уступая изысканному сердцу аромата, в котором сочетаются магнолия, нежные лепестки фрезии и жасмин. Чувственная база объединила ноты амбры, кашмерана и сандала.",Только для наружного применения.,США
